Informe de palabras clave negativas
Todo el período
Palabra clave negativa	Palabra clave o lista	Campaña	Grupo de anuncios	Nivel	Tipo de concordancia
[quien presta dinero sin checar buro]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financieras en pachuca]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financieras en chalco]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[monte de piedad creditos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[paguitos financiera]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos en compartamos banco]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[monte de piedad mexico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos mercado libre]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financieras en toluca sin buro de credito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[casas de empeño cdmx]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[mimoni prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[numeros de prestamistas]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos linea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[monte de piedad autos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos confiables]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo autos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pedir un prestamo santander]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos de compartamos banco]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[instacredit costa rica]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos en linea mexico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditos sin buro de credito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[solicita prestamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos compartamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos sin]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos reales sin buro]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo para mi negocio]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[obtener credito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[bienestar prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[crédito en línea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo sobre coche]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financieras en leon]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financieras que prestan dinero]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pedir prestamo online]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos para iniciar negocio]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[banco santander prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiamiento de autos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""fonacot"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[prestamistas]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""financiamiento de autos"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[prestamo auto]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos rapidos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credito familiar]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financieras]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credit auto]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[fimsa s a de c v préstamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[we share prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[solicitaloahora financiera monte de piedad com mx]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[payjoy préstamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo lendo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera todo paga]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[necesito un gota a gota]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeño fricash]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[casas de empeño en xochimilco]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[crédito familiar atención a clientes]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[bienestar económico préstamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[afirme autoplazo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[broxel prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[paay prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[créditos en línea sin buró]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credito para las pymes]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[son seguros los prestamos en linea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeño facil insurgentes]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credimax financiera]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[bancos y sociedades de ahorro y préstamo guadalajara]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[cual casa de empeño presta mas]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo tala]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos por afore]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[mas crédito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[presta movil]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[tala prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[casa de empeño fundación dondé]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[monte de piedad ciudad de mexico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[uber prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditea mx]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos bancopel]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamo automotriz]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo de 30000]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[tramite de credito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditos came]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credito nacional monte de piedad]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[crédito rotativo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[dimex prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[estoy desesperada necesito dinero urgente]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[kondinero financiera]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[solicita un prestamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[inbursa autos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditos monte de piedad]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos inbursa]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[quiero un credito personal]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos al instante sin buro]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pagare prestamo personal]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credi fast]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[como obtener un credito automotriz]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[quiero sacar un carro a credito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos de 2000]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credito came]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos sobre terrenos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[transunion auto]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditos inmediatos en linea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[fundacion donde empeños]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""prestamos para compra de autos"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[prestamo via nomina banorte]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[instantaneo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
Didi	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia amplia
[prestamos condusef]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[cetelem auto]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos banco provincia]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credito unico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credito en linea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credito automotriz]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pedir prestamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pedir credito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[comprar auto]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
imss	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia amplia
gobierno	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia amplia
[financiera credi apoyo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[simple prestamos es legal]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamos fajam smsem]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[feliz loan préstamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiaciones cuyo cuotas]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[tres creditos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera quickly]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[multicredito automotriz]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[sat prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos tala son confiables]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera presto]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos rapidos con mal credito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeños abiertos hoy]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[i prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[auto presta]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamos provident]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[personas prestamistas de dinero]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos felices]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[créditos provident]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos promejora]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeños first cash]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[a que interes prestan los bancos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[tasas de interes bancos prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[mega empeño]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[moneyman com mx]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeño facil mexico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[bancos y sociedades de ahorro y préstamo ciudad de méxico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[crediauto banjercito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[quien me presta 50 mil pesos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos para profesores]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiacion de vehiculo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[crediamigo prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera konfio]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[casa de empeño mexico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[casa de empeño ermita iztapalapa]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[condusef creditos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[compartamos banco prestamos para mujeres]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos guanajuato]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiamiento de autos sin buro]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credifiel prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[finanzia]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[came prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamistas gota]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditos en línea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[rapido crédito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[autofinanciamiento mazda]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos para mi negocio]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos de inmediato]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos finreal]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos apoyo economico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditos a negocios]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credy prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[colombianos que prestan dinero]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[sin papeles]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""credito para autos usados"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[crédito pyme]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[carros financiados]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""autofinanciamiento"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[prestamista particular serio]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credimax prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[sopori prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[soy prestamista particular]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[fundacion donde]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[simulador de credito automotriz]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditos para carros]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[necesito dinero urgente]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""first cash"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
"""comprar coche"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
"""uber"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
"""bbva"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[financiacion]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[casas de empeño ciudad nezahualcóyotl]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera simple préstamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera precap]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[came préstamos grupales]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeño fácil whatsapp]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[autoaval]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[yo dinero]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[condusef préstamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamos en línea oxxo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[tae coche]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""autofinanzas"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[definir prestamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo santander en linea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[son confiables los prestamos en linea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[fundacion donde empeños horarios]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera lendon]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[crezcamos financiera]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
